"Item ID","Title","Brand","Condition","Availability","Price","Currency","Product type","Custom label 0","Custom label 1","Feed label","Channel","Product link"
"2769","Rifle Paper Co. Case-Mate Clear Wild Rose Case for Apple iPhone 11 Pro","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/rifle-paper-co.-case-mate-clear-wild-rose-case-for-apple-iphone-11-pro"
"2770","Samsung Galaxy S20 Ultra S-View Flip Cover Case","Samsung","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-galaxy-s20-ultra-case-s-view-flip-cover"
"2770","Samsung Galaxy S20 Ultra S-View Flip Cover Case","Samsung","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-galaxy-s20-ultra-case-s-view-flip-cover"
"2772","Tech21 Pure Clear Case for Apple iPhone 11","Tech21","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/tech21-pure-clear-case-for-apple-iphone-11"
"2772","Tech21 Pure Clear Case for Apple iPhone 11","Tech21","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/tech21-pure-clear-case-for-apple-iphone-11"
"2776","Axessorize Protective Gel Phone Case for Alcatel 1B","Axessorize","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/axessorize-protective-gel-phone-case-for-alcatel-1b-1"
"2776","Axessorize Protective Gel Phone Case for Alcatel 1B","Axessorize","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/axessorize-protective-gel-phone-case-for-alcatel-1b-1"
"2777","Compatible Fitted Case for ANS F30 Flip Phone","Compatible","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/compatible-fitted-case-for-ans-f30-flip-phone"
"2777","Compatible Fitted Case for ANS F30 Flip Phone","Compatible","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/compatible-fitted-case-for-ans-f30-flip-phone"
"2780","Sonix Southern Lenntek Floral Case for Samsung Galaxy S20 Plus 5G","Sonix","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/sonix-southern-lenntek-floral-case-for-samsung-galaxy-s20-plus-5g"
