"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"refurbished galaxy z flip 6","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.91,1,1,0,0
"samsung fold 7 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.91,1,43,0,0
"degoogled phones australia","CJ - DSA (All Pages)","DeGoogled Phones","non-branded","AUD",0.9091,1,2,0,0
"pixel 8a refurb","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",0.9061,1,2,0,0
"iphone 16 256gb new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.9,1,13,0,0
"pixel 9","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",0.9,1,2,0,0
"refurbished phones australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.9,1,26,0,0
"samsung watch 4","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",0.9,1,2,0,0
"갤럭시 폴드 6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.9,1,2,0,0
"15 pro max","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.89,1,127,0,0
"harvey norman samsung s23","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.89,1,1,0,0
"ipad air m3 esim","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.89,1,2,1,1149
"mobile phone clearance sale","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.89,1,7,0,0
"samsung s25 ultra for sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.89,1,17,0,0
"samsung simple smartphone","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.89,1,1,0,0
"z flip 7 sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.89,1,11,0,0
"where to buy refurbished iphone","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.8846,1,1,0,0
"sell iphone 15 pro","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.8835,1,1,0,0
"find x5","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.88,1,1,0,0
"folding phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.88,1,47,0,0
"iphone melbourne","CJ - Refurbished Phones","Refurbished iPhones","branded","AUD",0.88,1,2,0,0
"apple ipad air m2 13 inch","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.87,1,3,0,0
"galaxy s24 ultra 1 tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.87,2,3,0,0
"samsung fold 6 crafted black","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.87,1,1,0,0
"samsung galaxy flip 6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.87,1,6,0,0
"iphone 12 refurbished near me","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.86,1,2,0,0
"iphone15 pro max 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.86,1,3,0,0
"where can i trade in my apple watch for cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.86,2,1,0,0
"iphones for sale refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.8585,1,2,0,0
"samsung s24 ultra new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.85,1,30,0,0
"16 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.84,1,39,0,0
"flip phones","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.84,4,95,0,0
"ipad refurbished","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.84,1,5,0,0
"new samsung s25 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.84,1,9,0,0
"samsung galaxy fold for sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.84,1,2,0,0
"sell broken ipads","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.84,1,1,0,0
"xiaomi mix flip","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.84,1,12,0,0
"mobile selling","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.8321,2,6,0,0
"selling phone near me","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.8305,1,2,0,0
"iphone 16 pro max 1t","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.83,1,14,0,0
"huawei pura x","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.82,2,101,0,0
"motorola flip phone","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.82,2,36,0,0
"samsung galaxy s25 ultra 5g","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.82,1,2,0,0
"sell old iphone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.82,1,6,0,0
"apple 16 pro new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.81,1,3,0,0
"honor magic","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.81,1,24,0,0
"s25 ultra new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.81,1,38,0,0
"galaxy s25 plus","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.8,5,19,0,0
"google pixel 9 pro xl sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.8,1,6,0,0
"iphone 17 pro max 512gb","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.8,1,5,0,0
"iphone air digidirect","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.8,1,6,0,0
"mobile phones for sale","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.8,1,1,0,0
"cheap google pixel 8","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",0.7968,1,1,0,0
"sell phones near me","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.7908,2,4,0,0
"galaxy flip 5 pink","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.79,1,1,0,0
"iphone 17 lavender 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.79,2,26,0,0
"pixel fold","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.79,2,179,0,0
"price of apple phone","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.79,1,2,0,0
"samsung fold 8","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.79,2,62,0,0
"ipad pro 13 m5 cellular","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.78,1,10,0,0
"iphone air brand new","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.78,1,1,0,0
"refurbished phone shop near me","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.78,2,4,0,0
"s25 plus","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.78,1,75,0,0
"used mobiles","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.78,1,1,0,0
"flip z","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.7796,1,2,0,0
"galaxy s9 ultra","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.77,1,1,0,0
"iphone17","Phonebot (B) Standard Shopping","Apple","non-branded","AUD",0.77,3,211,0,0
"where to buy new iphone 16 pro max","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.77,1,1,0,0
"samsung a53 5g price","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.763,1,1,0,0
"fold","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.76,2,19,0,0
"iphone 14 pro max 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.76,1,40,0,0
"iphone 17 pro price sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.76,1,1,0,0
"mobile phone","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.76,1,9,0,0
"pixel 7 pro","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",0.76,1,6,0,0
"s24 ultra 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.76,1,38,0,0
"apple refurbished australia","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.7594,1,2,0,0
"sell phone australia","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.7586,1,6,0,0
"samsung galaxy s23 refurbished","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.758,1,3,0,0
"refurbished ipads","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.7515,1,6,0,0
"back market","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.75,1,74,0,0
"ipad pro 12.9 m4","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.75,1,5,0,0
"iphone 17 mist blue","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.75,1,28,0,0
"iphone air cheap","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.75,1,17,0,0
"motorola razr plus 2024","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.75,1,2,0,0
"refurbished phone near me","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.75,1,6,0,0
"samsung flip 7 512","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.75,2,8,0,0
"samsung s23 plus","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.7444,1,9,0,0
"16 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.74,2,135,0,4.34
"iphone 17 deals","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.74,3,70,0,0
"pixel fold 9 pro","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.74,1,2,0,0
"samsung galaxy z flip7 reviews","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.74,1,4,0,0
"samsung note 24 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.74,1,3,0,0
"used phones for sale","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.74,1,2,0,0
"where can i sell my phone for cash in store near me","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.74,1,5,0,0
"reconditioned samsung watch","CJ - DSA (All Pages)","Samsung Watch","non-branded","AUD",0.7387,1,4,0,0
"fold phone","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.73,2,108,0,0
"iphone air australia price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.73,1,8,0,0
"phone shop","CJ - Refurbished Phones","Refurbished Phones","branded","AUD",0.73,2,13,0,0
"phone refurbished","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.72,1,5,0,0
"refurbished ipads","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.7185,1,10,0,0
"best refurbished samsung phones australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.71,1,5,0,0
"galaxy s24 plus","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.71,1,3,0,0
"iphone 17 mist blue 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.71,2,9,0,0
"samsung phone sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.71,1,3,0,0
"samsung s23 ultra reconditioned","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.71,1,1,0,0
"mobile phone trade in","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.705,2,2,0,0
"best folding phones 2026","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.7,1,7,0,0
"good mobile phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.7,1,2,0,0
"google pixel pro xl","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.7,1,17,0,0
"honor phone refurbished","CJ - DSA (All Pages)","Honor Phones","non-branded","AUD",0.7,1,1,0,0
"honor v3","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.7,2,17,0,0
"iphone 17 blue 256 gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.7,1,3,0,0
"samsung s26 ultra 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.7,1,43,0,0
"second hand phone","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.7,1,13,0,0
"where to sell old phones","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.6958,1,7,0,0
"pixel 6","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.6926,1,1,0,0
"best place to buy a refurbished iphone","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.69,1,3,0,0
"galaxy s26 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.69,2,96,0,0
"oppo n5","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.69,1,15,0,0
"flip7 samsung","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.68,3,11,0.06,65.68
"ipad air 13 inch m3 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.68,1,6,0,0
"iphone 17 australia price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.68,1,204,0,0
"mobile phone sales shop near me","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.68,1,1,0,0
"motorola razr 60 ultra for sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.68,1,5,0,0
"motorola razr 60 ultra refurbished","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.68,1,7,0,0
"refurbished samsung galaxy","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.68,1,1,0,0
"sell my samsung galaxy a23 5g","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.68,1,2,0,0
"17promax","Standard Shopping - iPhone 17","Iphone 17","non-branded","AUD",0.67,1,1,0,0
"apple iphone 17 256gb white","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.67,1,10,0,0
"apple pro max 17","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.67,1,16,0,0
"best place to buy refurbished phones australia","CJ - DSA (All Pages)","DeGoogled Phones","non-branded","AUD",0.67,1,2,0,0
"google pixel 9a 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.67,1,2,0,0
"iphone 15 pro buy","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.67,1,9,0,0
"samsung s24 ultra best price australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.67,1,6,0,0
"pixel 7 pro 5g","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",0.6657,1,2,0,0
"cheapest iphone 17","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.66,3,79,0,0
"folding mobile","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.66,1,1,0,0
"ipad 13 wifi cellular","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.66,1,2,0,0
"iphone 17 pro max blue","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.66,1,9,0,0
"iphone 17 pro max on plan","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.66,1,8,0,0
"oz mobile near me","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.66,1,1,0,0
"s25 galaxy phone price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.66,1,3,0,0
"samsung flip 7 best price","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.66,1,3,0,0
"swap phones for cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.66,1,2,0,0
"refurbished ipad pro","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.6546,1,1,0,0
"apple 15 pro 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.65,1,1,0,0
"apple store iphone 16 pro","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.65,1,1,0,0
"iphone 16 256","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.65,1,50,0,0
"iphone sale australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.65,1,7,0,0
"motorola ultra 60","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.65,1,13,0,0
"new 256 gb iphone 17 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.65,1,1,0,0
"phone sell","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.65,2,7,0,0
"samsung fold6 price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.65,1,3,0,0
"used iphone 16pro","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.65,1,4,0,0
"iphonebot","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",0.6467,4,10,0,0
"pixel phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.6446,1,7,0,0
"16 pro max plus","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.64,1,1,0,0
"apple 17 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.64,1,2,0,0
"ipad pro 13 inch m5","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.64,1,60,0,0
"motorola phones","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.64,2,215,0,0
"sell your phone cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.64,2,1,0,0
"60 ultra razr","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.63,1,1,0,0
"best iphone prices australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.63,1,1,0,0
"iphone air pricing","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.63,1,4,0,0
"motorola razr","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.63,1,202,0,0
"new iphone 17 price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.63,1,4,0,0
"samsung flip 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.63,2,329,0,0
"samsung galaxy z fold7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.63,1,26,0,0
"cheap ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.62,1,1,0,0
"iphone 13 refurbished near me","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",0.62,1,1,0,0
"iphone 16 pro max best price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.62,1,7,0,0
"iphone16pro","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.62,2,11,0,0
"samsung s23 ultra officeworks","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.62,1,2,0,0
"samsung s24 ultra brand new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.62,1,19,0,0
"samsung s25+","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.62,1,39,0,0
"selling old phones","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.62,1,3,0,0
"iphone 17 sage","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.61,3,59,0,0
"second hand phones","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.61,1,8,0,0
"zfold6","Phonebot (B) Standard Shopping","Samsung","non-branded","AUD",0.61,1,10,0,0
"google 10 pro xl","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.6,1,20,0,0
"pixel 10 pro 512","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.6,1,30,0,0
"samsung fold 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.6,1,260,0,0
"ipad pro 13 inch 512gb cellular","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.59,1,8,0,0
"oppo x9 pro australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.59,1,2,0,0
"s25 ultra sales","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.59,1,1,0,0
"where can i sell my phone for cash in store","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.59,2,27,0,0
"sell old broken phones","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.587,1,3,0,0
"samsung s24 clearance","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.585,1,1,0,0
"apple iphone air for sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.58,1,3,0,0
"cashaphone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.58,1,2,0,0
"motorola razr 60 ultra 5g 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.58,2,3,0,0
"motorola razr ultra 60","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.58,1,7,0,0
"phone trade in","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.58,1,7,0,0
"iphone 17 used","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.57,2,28,0,0
"phone deals","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.57,3,5,0,0
"phone mate","CJ - Refurbished Phones","Refurbished Phones","branded","AUD",0.57,1,4,0,0
"razor fold","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.57,1,1,0,0
"samsung z fold 8","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.57,1,21,0,0
"phone for cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5677,2,3,0,0
"sell second hand iphone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5635,1,1,0,0
"where to send old phones for money","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5611,1,2,0,0
"17 air price sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.56,1,1,0,0
"cheapest smartphone website","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.56,1,1,0,0
"cost of iphone 16 pro","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.56,1,1,0,0
"sell your phone australia","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5522,3,3,0,0
"phonebot st kilda","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",0.55,1,2,0,0
"sell iphone 13 pro max","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.55,1,2,0,0
"best price on an iphone 17","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.54,1,6,0,0
"cheapest iphone air","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.54,1,6,0,0
"google flip phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.54,1,17,0,0
"iph0ne 16 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.54,1,1,0,0
"iphone 15 pro max brand new","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.54,1,15,0,0
"latest samsung phone","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.54,1,4,0,0
"motorola razr 60 fold","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.54,1,2,0,0
"nothing phone 4a","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.54,1,8,0,0
"perfect preowned australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.54,1,3,0,0
"razr","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.54,1,33,0,0
"razr 40 ultra","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.54,1,12,0,0
"refurbished mobile phones melbourne","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.54,1,4,0,0
"samsung s25 ultra 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.54,2,86,0,0
"second hand phone store","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.54,1,5,0,0
"xiaomi 15 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.54,1,5,0,0
"we buy broken iphones","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5399,1,1,0,0
"samsung galaxy s26 512gb","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.5374,1,1,0,0
"sell mobile for cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5313,1,2,0,0
"buy second hand phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",0.53,1,4,0,0
"google phone cheap","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",0.53,1,1,0,0
"iphone 16 128 black","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.53,1,1,0,0
"iphone 16 256 g","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.53,1,1,0,0
"s26 ultra sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.53,1,13,0,0
"second hand iphone 16 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.53,1,6,0,0
"sell iphone for cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.53,1,5,0,0
"z flip 6","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.53,1,10,0,0
"google pixel 9pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.52,1,5,0,0
"google pixel fold australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.52,1,11,0,0
"iphone 17 pro 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.52,2,72,0,0
"iphone refurbished apple store","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.52,1,2,0,0
"motorola razr 60 ultra wood","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.52,2,3,0,0
"refurbished samsung a57","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",0.52,1,2,0,0
"sell ipad now","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.52,1,2,0,0
"sell my tablet","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.52,1,4,0,0
"cash for phones near me","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.517,1,11,0,0
"where to sell a mobile phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5162,1,3,0,0
"sell your iphone online","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5151,1,1,0,0
"apple ipad pro 13 inch 512gb wi fi space black m5","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.51,1,13,0,0
"apple iphone air 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.51,1,19,0,0
"buy apple iphone 17 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.51,1,5,0,0
"ipad pro m5 13 inch","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.51,1,65,0,0
"iphone 16 pro price 512","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.51,1,2,0,0
"mobile phones","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.51,2,50,0,0
"sell samsung galaxy flip 3","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5048,1,1,0,0
"all types of flip phones","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.5,1,1,0,0
"best small phones","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.5,1,1,0,0
"iphone 14 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.5,1,39,0,0
"iphone 17 256 gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",0.5,1,44,0,0
"oppo phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",0.5,1,32,0,0
"phonebot reviews","SS - Excluded Products - >$100","Products >$100","branded","AUD",0.5,1,68,0,0
"sell electronics for cash","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",0.5,1,3,0,0
"www phonebot com au","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",0.5,4,12,1,437.01
