"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"phone ot","CJ - Refurbished Phones","Refurbished Phones","branded","AUD",2.378,4,6,0,0
"best iphone 14","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.37,1,1,0,0
"galaxy fold 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.37,2,89,0,0
"iphone 15 pro 256gb","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.37,1,4,0,0
"new iphone","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.37,1,2,0,0
"google pixel 10","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.36,1,57,0,0
"google pixel 10 pro 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.36,2,16,0,0
"google pixel 10 pro australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.36,1,1,0,0
"z fold 6 refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.36,1,16,0,0
"iphone14 refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.34,1,1,0,0
"s26 ultra price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.34,1,45,0,0
"samsung s24 ultra 1tb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.34,1,24,0,0
"iphone 16 pro new 256gb","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.33,1,6,0,0
"honor magic v2","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.31,3,51,0,0
"nothing 4a","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.31,1,2,0,0
"samsung s24 ultra 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.31,1,31,0,0
"apple iphone 16 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.29,1,12,0,0
"iphone 16 pro 512 white","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.28,1,3,0,0
"samsung galaxy s22","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.2795,1,14,0,0
"phonebot reviews","SS - All Products >$1000","All Products > $1000","branded","AUD",2.27,2,130,0,0
"refurbished oppo phones australia","CJ - Refurbished Phones","Oppo","non-branded","AUD",2.27,2,3,0,0
"jb hi fi refurbished phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.26,1,2,0,0
"refurbished iphone australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.25,1,14,0,0
"the phone bot","CJ - Phonebot (B)","Phonebot","branded","AUD",2.25,2,4,0,0
"iphone 14 pro refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.2394,2,8,0,0
